Date,news,output
18-02-2020,SP moves SC for Tata Sons board seat,0
19-02-2020,"Tata Steel’s UK business buyer acquires Zion, Adhunik too",2
19-02-2020,Nagpur: Digitization of service books of 558 officers underway on war footing,1
21-02-2020,Ratan Tata to felicitate Dr Bang couple for their contribution to public health,1
23-02-2020,"BSE, NSE keen to set up international bullion exchanges in GIFT IFSC",1
23-02-2020,"Nagpur: Armed with placards, Tata Parsi girls resort to Gandhigiri against molesters",1
25-02-2020,"Sensex tanks 807 pts, gold at lifetime high of Rs 43,250",0
25-02-2020,"Sensex tanks 807 pts, gold at lifetime high of Rs 44,472",0
27-02-2020,Govt signs MoU with Tata Trust to open 115 health and wellness centres in 23 districts,1
27-02-2020,"Sensex falls 1,281 pts in 4 sessions",0
28-02-2020,"War memorial, 7D theatre & yoga centre in PCMC budget",1
28-02-2020,Sensex down 1.4k pts in 5 days,0
29-02-2020,Coronage: Sensex suffers its 2nd-biggest 1-day loss ever,0
03-03-2020,"Sensex seesaws 1,300 pts on Covid-19",0
04-03-2020,Coronavirus scare: Sanitisation operations start on war footing in Hyderabad,1
05-03-2020,"Sensex, Nifty inch higher, virus fears limit gains",1
05-03-2020,Police foil hack of Rs 200 crore on Tata Sons account,0
07-03-2020,#Coronavirus: Plotting a pandemic,0
07-03-2020,Tata Sons board tilts towards bid to acquire Air India,2
07-03-2020,"BJP, Congress in a war of words over handling of Covid-19 crisis",1
07-03-2020,"Sensex tanks 894 pts to 5-month low of 37,577",0
08-03-2020,"Covid-19 has still not reached pandemic levels, say scientists",1
10-03-2020,"1942, a horror story: Sensex suffers worst 1-day loss ever",0
11-03-2020,"Sensex, Nifty turn volatile as coronavirus continues to spread",0
11-03-2020,Kerala on a war footing as coronavirus cases rise to 14,0
12-03-2020,Pandemic SOP issued for IT sector,1
13-03-2020,"World War C: Sensex crashes 2919 pts, by far its worst ever",0
13-03-2020,Fast and Furious 9' release date pushed to April 2021 amid coronavirus pandemic concerns,1
15-03-2020,Pandemic spanner in Yogi@3 mega event?,1
15-03-2020,February automobile sales down 12.4% in Gujarat,0
16-03-2020,Garbage left behind after Tata Power works,1
16-03-2020,Coronavirus scare: Tata Motors’ office staff in Pune to work from home,0
17-03-2020,"Sensex falls 2,713 pts, 2nd biggest drop ever; has lost 24% in a month",0
17-03-2020,"Sensex falls 2,713 points, 2nd biggest drop ever; has lost 24% in a month",0
18-03-2020,"Sensex sheds 811 points, Nifty closes below 9k 1st time in 3 yrs",0
19-03-2020,"Sensex tanks 1710 on virus, NPA fears",0
20-03-2020,"Sensex swings 2,600 pts, closes at over 3-year low",0
20-03-2020,Telangana students brave pandemic to appear for SSC exam,1
21-03-2020,"Stimulus hope pulls up sensex by 1,628 points",2
21-03-2020,"India joins hands with NZ, Vietnam, S Korea to combat pandemic",1
22-03-2020,Railway spread 1918 flu pandemic in India,0
22-03-2020,The internet is critical to navigating this pandemic,1
22-03-2020,Telangana to perform homams for early control of Covid-19 pandemic,1
22-03-2020,Social distancing has Serena Williams 'on edge' amid coronavirus pandemic,1
23-03-2020,Canada first nation to pull out of Tokyo 2020 Olympics amid COVID-19 pandemic,1
24-03-2020,Kia Motors temporarily suspends operations at Anantapur plant,0
25-03-2020,Aladdin: Naam Toh Suna Hoga actor Siddharth Nigam urges people to spread happiness amid coronavirus pandemic,1
25-03-2020,Govt in talks with automobile firms to make ventilators,1
25-03-2020,WHO: India’s corona battle will make or break global war,1
25-03-2020,Govt staff offer help to combat pandemic,1
25-03-2020,Sensex up 693 pts on global eco boosters,2
25-03-2020,Hackathons look at out of the box solutions for Covid pandemic,1
26-03-2020,"Sensex vaults 1,862 points on RIL gain, global eco boosters",2
27-03-2020,"Sensex hits 30k again, but closes tad lower",0
27-03-2020,Rajasthan: Mineral fund to fight killer pandemic in Rajasthan,1
28-03-2020,Tata Motors to hive off passenger vehicles unit,0
28-03-2020,"RBI refrains from GDP, inflation projections due to high volatility",0
28-03-2020,Eco growth concerns drag sensex down 131 pts,0
28-03-2020,Mohun Bagan contributes Rs 20 lakh to combat Covid-19 pandemic,1
28-03-2020,"Over 7,500 home guards join war on coronavirus in Rajasthan",1
28-03-2020,Mangaluru: Pandemic hits wedding industry hard,1
29-03-2020,"Maruti, Hyundai join corona war",1
29-03-2020,Bengaluru citizens join government as ‘Corona warriors’ to fight the pandemic,1
30-03-2020,Pandemic hits Cantt board’s property tax collection hard,0
30-03-2020,"Do you send soldiers on war front without guns, say doctors fighting Covid-19",1
30-03-2020,Jaipur: Inmates of Sanganer open jail join fight against pandemic,1
31-03-2020,Covid-19 fight: Govt has Rs 60k crore war chest in disaster funds,1
31-03-2020,"Sensex down 1,375 pts as growth, labour migration worries weigh",0
31-03-2020,Pandemic lockdown leads to cleaner air,1
01-04-2020,"Viral fever: Down 12,700 pts, sensex sees worst qtr ever",0
01-04-2020,"Down 12,700 pts (31%), sensex has worst quarter",0
01-04-2020,"NREGS wages go up, thanks to inflation",1
02-04-2020,India to accept foreign aid for war on virus,1
02-04-2020,"Treatments for diabetes, kidney ailments affected amid corona war",1
02-04-2020,"Sensex down 1,203 points on global cues, weak auto sales",0
03-04-2020,Karnataka’s fight against pandemic hit as ministers not on same page,1
04-04-2020,Rs 56cr for innovations to combat Covid-19 pandemic,1
04-04-2020,Sensex dives 674 points on rising cases,0
05-04-2020,How another pandemic gave rise to Karnataka’s health services,1
07-04-2020,Demand for health insurance increases due to pandemic,1
07-04-2020,DRDO pools in all partners to manufacture equipment to battle pandemic,1
08-04-2020,"Tata Steel, Adani donate Rs 11 crore in CM relief fund",1
08-04-2020,Pandemic fight a social battle: State govt panel,1
08-04-2020,Virtual lab at NITK a boon in the time of pandemic,1
08-04-2020,"Sensex surges record 2,476 points on global cues",2
09-04-2020,"Tata Cap joins bond queue, eyes Rs 6.5k cr",2
10-04-2020,"After 7 wks in red, sensex sees gains",2
11-04-2020,Kerala seeks pandemic bonds to bail out economy,1
12-04-2020,KCR moots ‘chopper money’ to bail out states battling Covid-19 pandemic,1
13-04-2020,"Flipkart, Tata join hands to deliver items",1
14-04-2020,"Zoonoses must be dealt with on a war footing, says ICMR",1
14-04-2020,Sensex drops over lockdown extension,0
15-04-2020,Tata may keep Ralf Speth in JLR’s driver seat,1
15-04-2020,"Restaurants, delivery staff ensure hygiene amid the corona pandemic",1
16-04-2020,"India slams US body for fake news, says stop communalising war on Covid-19",1
16-04-2020,43% of pandemic patients in city fall in 20-40 age group,1
16-04-2020,War against Covid-19: NGOs and individuals making masks for the needy,1
16-04-2020,"Sensex dips 310 pts as BFSIs, autos fall",0
18-04-2020,Sensex up 986 pts on RBI’s booster,2
19-04-2020,Trump warns China could face 'consequences' over pandemic,1
20-04-2020,Tata hospital to be ready soon,1
21-04-2020,Coronavirus outbreak in slum areas forces Mumbai to confront its ‘shame’: Ratan Tata,1
21-04-2020,Outbreak in slums forces Mumbai to confront its ‘shame’: Ratan Tata,1
21-04-2020,Exam anxiety and pandemic impact on academic schedule grip students,1
22-04-2020,"Oil price slide, virus spread pull sensex down 1,011 pts",0
22-04-2020,"Delhi: In war zone, doctors battle sweat, hunger, fear",1
22-04-2020,"Squalls bring down temperature in Kolkata, doctors warn of fresh viral attack amid pandemic",0
22-04-2020,Kanyakumari hit hard by pandemic,1
23-04-2020,"Sensex gains 743 pts riding on RIL rally to end at 31,380",2
26-04-2020,Poll finds 83% Indians believe govt handling pandemic well,1
26-04-2020,Hyderabad: Ramzan arrives but pandemic shadow looms over festivities,1
26-04-2020,Constant vigilance helps Haveri district stay clear of pandemic,1
26-04-2020,Coronavirus pandemic inspires artwork,1
27-04-2020,Festive occasions bring no cheer to automobile dealers,0
28-04-2020,Cyber crooks play on corona pandemic panic,1
28-04-2020,"Amid pandemic fears, Mysuru on alert for dengue",0
28-04-2020,Cops log in Twitter-verse to check fake news on pandemic,1
29-04-2020,Garbage output dips 40% in city due to pandemic,1
29-04-2020,BSE commex segment to test negative crude price,1
30-04-2020,Tata hosp is first pvt Covid testing centre in state,1
01-05-2020,"4,000 points: Sensex posts highest monthly gain",2
02-05-2020,"For 42 days, 65-year-old has slept in ambulance, says will go home ‘once Covid-19 war is over’",1
05-05-2020,"Sensex dives 2,002 points on PMI’s historic low, global cues",0
10-05-2020,Pandemic creates opportunities for realtors to find potential buyers,1
10-05-2020,Coast Guard ready to discharge duties in times of pandemic,1
11-05-2020,Tata Group may cut pay of employees at some companies,0
13-05-2020,Pandemic brings down open-defecation in villages,1
14-05-2020,State seeks 20 CAPF companies from Centre to fight Covid-19 pandemic,1
15-05-2020,Tata to upgrade 2 government hospitals in Maharashtra to treat Covid patients,1
15-05-2020,"Around 1,000 calls at war room daily; 250 for ration, food packets",1
15-05-2020,Sensex dives 886 pts as stimulus disappoints,0
15-05-2020,Tata to upgrade 2 government hospitals in state for Covid treatment,1
17-05-2020,Kerala: Work on Tata hospital in Kasaragod nears completion,1
18-05-2020,Pandemic casts shadow on iftar and Eid preparations in Jaipur,1
19-05-2020,Sensex tanks 1k pts as D-St turns cautious on stimulus,0
19-05-2020,"BSE, NSE cut SME listing fee by 25%",1
20-05-2020,Schools brainstorm on safe operations amid pandemic,1
22-05-2020,"Pandemic, trade war water down India’s salt exports",1
22-05-2020,Banks and NBFCs turn off automobile loan tap as they revise credit worthiness norms,0
23-05-2020,"Tata Steel running with 50% capacity, efficiency sees improvement, says CEO Narendran",2
23-05-2020,Pandemic caused 61% drop in reporting of strokes: Study,1
23-05-2020,"Banks lead sensex slide, bonds up after RBI cut",0
26-05-2020,Over 150 citizen volunteers join PMC’s Covid war effort,1
28-05-2020,Foot-operated sanitiser dispensers latest pandemic product in Chennai,1
28-05-2020,"Sensex soars nearly 1k pts as banks, fin stocks rally",2
31-05-2020,Ashok Gehlot hails MGNREGA for providing livlihood to crores during pandemic,1
01-06-2020,"PM Narendra Modi lauds courage, resilience shown by Amphan-hit states amid pandemic",1
02-06-2020,"Delhi: Tug of war over sealing borders, reserving beds",1
02-06-2020,"Sensex rallies 9% in 4 days as RIL, financial stocks lead",2
03-06-2020,"D-St ignores rating action, sensex gains",2
09-06-2020,Gang war in Vijayawada: 11 more people held,1
12-06-2020,Mumbai: Tata hospital operates on 494 cancer patients in lockdown,1
12-06-2020,Med team checks pvt hosp facilities to treat pandemic,1
12-06-2020,Tata Memorial does 494 cancer surgeries during lockdown,1
13-06-2020,"3 Tata ships sell for Rs 1,600 crore",2
13-06-2020,"It’s a war on corona, don’t upset warriors, pay docs salaries: SC",1
14-06-2020,Centre sets up key panel to help states fight Covid war,1
17-06-2020,"China’s Great Wall Motors in pact with Maha, has $1bn India plan",1
17-06-2020,Cars find many takers amid pandemic,2
17-06-2020,"D-Street discounts border clash, sensex ends in green",2
18-06-2020,Parsoli Motors ordered to deposit Rs 1 lakh in NDF,1
18-06-2020,"We can empathise with what our soldiers in Ladakh are feeling, last war had taught us China not to be trusted: Veterans who fought ‘62 war",1
19-06-2020,Tata Education Trust will have to deposit Rs 100 crore in tax demand,0
19-06-2020,Tata Motors rating cut by Moody’s,0
20-06-2020,Police grapple with pandemic as 868 of them infected so far,0
20-06-2020,"Post Galwan, Chinese cyber armies wage war against India",0
20-06-2020,"At Rs 35,000 crore, Ruchi Soya’s m-cap nears large companies like Tata Motors",1
21-06-2020,Pandemic sees more interest in yoga,1
21-06-2020,This World Music Day and International Day of Yoga the focus is on wellness and healing amidst the pandemic,1
22-06-2020,Sensex up 34% on handful of stocks since March low,2
24-06-2020,Muted Rath Yatra festivities amid pandemic in Visakhapatnam,1
24-06-2020,Ratan Tata shares a message urging people to stop online bullying and hatred,1
27-06-2020,Tata Steel closes Jamadoba mine after employee tests positive,0
27-06-2020,Turf war continues in panchayati raj dept,1
27-06-2020,Veteran of 1962 war relives tense moments on India-China border,1
30-06-2020,"Tata Steel hit by Rs 1,236 crore loss in Q4",0
01-07-2020,Councillors’ nod to releasing payment to Tata firm,1
01-07-2020,Tata Motors Hospital plans to seek nod for RT-PCR tests,1
01-07-2020,Drones helping Andhra Pradesh government fight Covid-19 pandemic,1
03-07-2020,"Tatas to put Rs 2,600 crore into Tata Power",2
05-07-2020,Shipments at Centre-run ports drop 20% amid pandemic,1
07-07-2020,Pandemic raises use of salt by 40%,1
08-07-2020,Indo-China war drama 'Paltan' actor Harshvardhan Rane: Ditching Chinese products is the least I can do,0
11-07-2020,Corporation ropes in self-help group members to fight Covid-19 pandemic,1
16-07-2020,RTO steps in as pvt ambulances overcharge during pandemic,1
16-07-2020,"$151bn for fossil fuels, $89bn for green energy in pandemic aid",1
16-07-2020,"Sensex surges 700 pts, ends flat as RIL yo-yos",0
17-07-2020,"Infy, select banks lift sensex by 1.2%",2
18-07-2020,Tata Trusts may place Noel on Tata Sons board,1
19-07-2020,Ahmedabad: Varsity gets legal notice for exam during pandemic,1
20-07-2020,12L shoppers spend Rs 66cr in 5 malls in pandemic month,1
20-07-2020,Covid-19 war will be fought at ward level now,1
20-07-2020,Covid fear slows down war on vector-borne diseases,1
22-07-2020,"Sensex nears 38k, first time in over 4 months",2
22-07-2020,Tata Communications gets Saudi net licence,1
23-07-2020,Pandemic breathes life into uncultivated land on coast,1
24-07-2020,"As pandemic hits sales, mall rentals cut by up to 50%",1
25-07-2020,Tata education trust’s charity in US not income: ITAT,1
25-07-2020,NSE halts trading in 2 ETFs after price error,0
26-07-2020,Airport earnings dip to nearly 10% of average before pandemic,0
27-07-2020,"Pandemic has worsened woes of disabled women, says study",1
27-07-2020,"UP: CM, CS inspect preparedness in districts battling pandemic",1
28-07-2020,DSPMU students protest exams during pandemic period,1
29-07-2020,"Worst day of pandemic in Punjab: 612+ve, 19 die",0
29-07-2020,"NSE platform to allow T-bill, state bond trade",1
30-07-2020,Civil society must act to save poor kids amid floods and pandemic in Bihar,1
01-08-2020,"Tata Motors loss more than doubles to Rs 8,444 crore in Q1",0
03-08-2020,Rakhi shopping takes a big hit in city due to pandemic,1
04-08-2020,"Sensex down 667 pts as RIL, bank stocks slide",0
04-08-2020,Tata Motors to drive in foreign partner in India passenger car biz,2
05-08-2020,"Sun Pharma launches drug at Rs 35, triggers price war again",1
05-08-2020,Students assist government personnel in fight against pandemic,1
05-08-2020,"HDFC Bank, RIL help sensex gain 748 pts",2
07-08-2020,‘We have reached the pandemic peak; will remain for 4-6 weeks’,2
08-08-2020,Pandemic brings counter-insurgency training in Jharkhand to a standstill,1
08-08-2020,Budget hotels face problems of survival amid pandemic,1
11-08-2020,"The pandemic is the right time to start a business, say experts",1
12-08-2020,"Sensex, Nifty at five-month peaks over global cues",2
12-08-2020,"PM Modi stresses on containment, contact-tracing, testing to win war against Covid-19",1
14-08-2020,"Tata Steel sees Rs 4,648cr loss for Q1 due to Covid",0
14-08-2020,"Retail inflation nearly 7% on food prices rise, RBI may hold rates",0
15-08-2020,BSE joins hands with i-Hub,1
16-08-2020,"Pools in Calangute, Candolim under watch in dengue war",1
16-08-2020,"In #Unlock3.0, bookings for workcations rise amid pandemic",1
17-08-2020,Tata hospital adds two drugs to treat Covid patients,1
18-08-2020,Pandemic drives up two-wheeler registrations in Mangaluru,2
19-08-2020,Pandemic rule violators add Rs 2.6 crore to police coffers,1
19-08-2020,"Pandemic under control in MP, but can’t let guard down: AIIMS director",1
21-08-2020,RBI’s MPC feared broader inflation,0
21-08-2020,Deaths due to acute health conditions see rise amid pandemic,0
22-08-2020,Jail lost more than Rs1cr revenue during pandemic,1
23-08-2020,Art sector paints canvas differently to stay afloat during pandemic,1
24-08-2020,Tata Digital plans to launch e-comm app,1
24-08-2020,Covid-19 pandemic brake on India-Nepal rly project work,1
24-08-2020,AC sales reel from the pandemic punch in Kolkata,1
24-08-2020,Higher impairments pull Tata Capital’s FY20 profit by 87%,2
26-08-2020,Sebi fines NSE for extra pay to former MDs,0
26-08-2020,Pandemic delays terminal building expansion work at MIA,1
26-08-2020,Shareholders slam Tata Motors for investor wealth crash,0
27-08-2020,"After 6 months, sensex back at 39k on FPI buys, auto, IT",2
27-08-2020,"After 6 months, sensex back at 39k on FPI buys, auto, IT",2
28-08-2020,JEE & NEET students worried about reaching exam centres amid pandemic,1
28-08-2020,Tata Sons chairman N Chandra’s pay dips 11% to Rs 58 crore,1
28-08-2020,Tata Sons FY20 profit doubles with TCS help,2
29-08-2020,Tata Consumer appoints TaMo CFO Balaji as director,1
29-08-2020,"Pandemic fails to snap contraband supply chain, teens turn conduits",1
29-08-2020,E-shoppers double amid pandemic to 42% of urban active internet users,2
29-08-2020,"Pandemic on, no power tariff hike this year in Delhi",1
29-08-2020,"Inspite of pandemic gloom, Karnataka sees 16,700 new business registrations",2
30-08-2020,HC turns down plea for ‘tazia’ processions in view of pandemic,1
31-08-2020,3 Nashik temples lose around Rs 310 crore due to pandemic,1
01-09-2020,Sensex crashes 839 points on bad news,0
01-09-2020,"With alcohol sale allowed now, bars and pubs look at recovering from the effect of the pandemic",1
05-09-2020,Several state assemblies that met amid pandemic did without Q-hour,1
05-09-2020,"India, Russia take part in two-day naval war games in Bay of Bengal",1
05-09-2020,Sensex tanks 634 pts on US mkt slide,0
06-09-2020,Pandemic battle shifts the focus away from HIV tests,1
07-09-2020,Jharkhand: Automobile sector on road to revival,2
11-09-2020,Vegetable carts mushroom in Bhopal as jobs disappear in pandemic,1
12-09-2020,Tatas block SP’s plan to pledge Tata Sons shares,1
13-09-2020,Pandemic delays govt scheme seeking Dalit students’ admission to elite schools,1
15-09-2020,Tata JV company names rival SP’s PR firm’s head director,1
16-09-2020,Pandemic encouraging small towns to develop co-working office spaces,1
18-09-2020,Irdai panel proposes Rs 75k cr pandemic pool,1
19-09-2020,Former Tata exec Rajiv Dube returns from Birla co,1
19-09-2020,Life back to ‘normal’ in city amid pandemic,2
20-09-2020,Downgrading degree earned during pandemic will draw action,1
20-09-2020,"Eighties redux: In pandemic year, pandals go retro in Kolkata, keep it simple",1
21-09-2020,UP CM Yogi Adityanath launches integrated portal to combat coronavirus pandemic,1
22-09-2020,Sensex tanks 812 pts as virus spread stokes fresh eco fears,0
23-09-2020,"Mistrys seek to sell Tata stake, but valuation seen as challenge",0
23-09-2020,Enforcement of pandemic rules most stringent in north Chennai,1
25-09-2020,"Sensex tanks 1,115 pts on fears of bigger Covid hit",0
25-09-2020,Pandemic makes 90% Indians careful with expenses: Survey,1
26-09-2020,Funds crunch hits Mangaluru City Corporation as pandemic hits revenue,1
26-09-2020,SP’s PR firm head quits Tata company board,1
26-09-2020,Mixed reaction to Bihar assembly polls amid pandemic,1
01-10-2020,TCS collection during pandemic not a wisw decision: Bizmen,1
02-10-2020,"Subscribed 157x, Mazagon most successful PSU IPO; sensex sees best weekly gain in 4 months",2
04-10-2020,Pandemic income loss forces Kolkata doctors to switch hospitals,1
06-10-2020,Automobile service centres see dip in biz as WFH becomes new normal,1
08-10-2020,"TCS unveils another buyback worth Rs 16k cr, Tata Sons to gain most",2
08-10-2020,"Sensex hits 7-mth high on stimulus, loan ruling hopes",2
09-10-2020,Sensex atop Mt 40k after 7 mths,2
10-10-2020,Pandemic forces re-think on costly educational programmes,1
10-10-2020,"Sensex gains 327 points, bonds rally",2
10-10-2020,Pandemic pushes mental health problems,1
10-10-2020,Freshers struggle to find jobs amid pandemic with very few vacancies,1
11-10-2020,"Seasonal flu, viral fever haunt people in times of pandemic",1
12-10-2020,Razorpay sixth Indian unicorn in pandemic year,1
13-10-2020,86% women facing mental health issues due to the pandemic pressure: UK survey,1
14-10-2020,Panaji: Covid pandemic weighs down floating jetties,1
16-10-2020,Jhunjhunwala holds 1.3% in Tata Motors worth Rs 508 crore,2
16-10-2020,"Sensex tanks 1,066 pts on global selloff",0
18-10-2020,Vizag: Automobile sector pins revival hopes on festive season,2
23-10-2020,Passengers’ number at airport dropped four times during pandemic,1
24-10-2020,"Tata Steel, Swedish co eye EU biz deal",1
26-10-2020,"Sensex sheds over 150 points; Nifty below 11,900",0
28-10-2020,Pandemic to wipe out 3 yrs of states’ fiscal gains: RBI,0
29-10-2020,Sensex drops in global selloff over rising Covid cases,0
31-10-2020,Tata engineers may be roped in for Ayodhya temple,1
31-10-2020,"UP got Rs 6,700 crore investment in 6 months despite pandemic",1
01-11-2020,"Pandemic rages, but healthcare still missing from poll promises",1
02-11-2020,First monthly fall in Punjab Covid cases since start of pandemic,1
02-11-2020,Telangana registers 5% growth in GST since pandemic,2
03-11-2020,"Tractor sales in Rajasthan in a tearing hurry, defy pandemic blues",1
04-11-2020,Appeal to CM Mamata Banerjee for cracker ban in pandemic times,1
04-11-2020,Pandemic stress takes toll on dementia patients: Doctors,1
04-11-2020,High home loan demand triggers interest rate war,1
06-11-2020,Sensex hits pre-Covid high of Feb,2
07-11-2020,Three held for theft of motors at Margao,1
07-11-2020,"Sensex 1% away from record 42,274",2
08-11-2020,Awarding of NH projects doubles despite pandemic,1
08-11-2020,Fire at Tata Chemical in Mithapur,1
08-11-2020,"BSE withdraws form fill-up notice for 2021 boards after criticism from students, parents",1
09-11-2020,Measures to stem pandemic spread intensified in city,1
10-11-2020,Rate war by PSBs sees NBFCs lose car loan marketshare,0
10-11-2020,"Trains still not on track, city bizmen say inflation likely",1
10-11-2020,Sensex at new peak as Biden show spurs foreign buying,2
10-11-2020,Sensex at new peak as Biden victory spurs foreign buying,2
10-11-2020,Pandemic has affected food security: Survey,1
10-11-2020,"Bihar gets award from Centre for deploying over 7,000 buses to move 25 lakh migrants during pandemic",1
11-11-2020,Kids at risk as pandemic upsets routine immunisation,1
11-11-2020,"Sensex shoots past 43k on vaccine news, Q2 results",2
11-11-2020,No car festival at MM Hills temple due to pandemic,1
12-11-2020,Tata Steel board to take call on Euro biz,1
12-11-2020,Army holds war exercise in Jaisalmer,1
12-11-2020,"Strong foreign inflows take sensex to record 43,594 pts",2
12-11-2020,RBI warns of ‘unrelenting’ inflation woes,0
12-11-2020,College organises webinar on realigning business amid the pandemic,1
13-11-2020,‘40% festive bonus of Tata Steel staff will reach market’,2
13-11-2020,LMC bonds to make debut on BSE today,1
13-11-2020,Diwali cheer: Four-wheeler sales up in Telangana amid pandemic,2
13-11-2020,Docs stress need for protecting lung health amid pandemic,1
13-11-2020,"After 4k-pt run, sensex falls on profit-booking",2
14-11-2020,"Concern over Covid, air pollution in states where pandemic strike rate is high",1
14-11-2020,GIDC urged not to vacate plots given to automobile sales SME units,1
14-11-2020,Samvat 2076: Sensex up 11% amid high volatility and a record crash,2
14-11-2020,"LMC’s Rs 200 bonds lapped up at BSE in a minute, over-subscribed by 225%",1
15-11-2020,Pandemic effect: More people take up cycling in Kochi,0
15-11-2020,Covid-19: Escape hatches where people took refuse to beat pandemic blues,1
15-11-2020,Swwapnil Joshi: The pandemic has taught us to value our families more,1
15-11-2020,Coronavirus pandemic mars Diwali celebrations of Indian Americans,1
15-11-2020,Diwali spirit shines through pandemic,2
15-11-2020,Samvat 2077 starts with sensex at new life-high,2
15-11-2020,Samvat 2077 starts with sensex at a new life high,2
17-11-2020,New vaccine breakthrough lifts global hope against pandemic,2
17-11-2020,Wholesale inflation rises to 8-month high of 1.5%,0
17-11-2020,NBFCs lose car loan market share on rate war by PSBs,1
17-11-2020,"Gang war leads to double murder, three arrested",1
18-11-2020,"AirAsia may exit India, end joint venture with Tata Sons",2
18-11-2020,"NSE pays Rs 2,300cr to Karvy investors",1
18-11-2020,NSE Academy Ltd acquires edu-tech player TalentSprint,1
19-11-2020,SP urges SC to separate its interests from Tata Group,1
20-11-2020,"Sensex hits new high, ends 580 pts in red",2
20-11-2020,Hero Motors eyeing Rs 1000 crore revenue by financial year 2022,1
20-11-2020,"Apollo, Tata MD to roll out new test for Covid-19",1
20-11-2020,Sugar production defies pandemic slowdown; 30% spike than last yr,1
22-11-2020,Employee of automobile parts maker attacked,1
